time: 14/01/2020 - 16:53:28
###########   TRAINING STARTED  ############
Iter =    420/ 10000, loss_seg = 0.5282 loss_adv = 0.0007, loss_weight = 0.0195, loss_D_s = 0.4652 loss_D_t = 0.7816
Iter =    430/ 10000, loss_seg = 1.4227 loss_adv = 0.0008, loss_weight = 0.0195, loss_D_s = 0.6401 loss_D_t = 0.5981
Iter =    440/ 10000, loss_seg = 0.6537 loss_adv = 0.0006, loss_weight = 0.0195, loss_D_s = 0.4837 loss_D_t = 0.8394
Iter =    450/ 10000, loss_seg = 0.3042 loss_adv = 0.0008, loss_weight = 0.0195, loss_D_s = 0.7723 loss_D_t = 0.6055
Iter =    460/ 10000, loss_seg = 0.7528 loss_adv = 0.0008, loss_weight = 0.0195, loss_D_s = 0.8490 loss_D_t = 0.5557
Iter =    470/ 10000, loss_seg = 0.3434 loss_adv = 0.0008, loss_weight = 0.0194, loss_D_s = 0.6442 loss_D_t = 0.6612
Iter =    480/ 10000, loss_seg = 0.5625 loss_adv = 0.0009, loss_weight = 0.0194, loss_D_s = 0.6808 loss_D_t = 0.5225
Iter =    490/ 10000, loss_seg = 0.5485 loss_adv = 0.0009, loss_weight = 0.0194, loss_D_s = 0.5596 loss_D_t = 0.5438
Iter =    500/ 10000, loss_seg = 0.4103 loss_adv = 0.0008, loss_weight = 0.0194, loss_D_s = 0.7229 loss_D_t = 0.6771
Iter =    510/ 10000, loss_seg = 3.2289 loss_adv = 0.0068, loss_weight = 0.0194, loss_D_s = 1.3254 loss_D_t = 0.5321
Iter =    520/ 10000, loss_seg = 0.7239 loss_adv = 0.0063, loss_weight = 0.0194, loss_D_s = 0.9037 loss_D_t = 0.9045
Iter =    530/ 10000, loss_seg = 1.2373 loss_adv = 0.0060, loss_weight = 0.0194, loss_D_s = 1.0813 loss_D_t = 0.9183
Iter =    540/ 10000, loss_seg = 0.6018 loss_adv = 0.0027, loss_weight = 0.0194, loss_D_s = 1.0414 loss_D_t = 1.5280
Iter =    550/ 10000, loss_seg = 0.3128 loss_adv = 0.0062, loss_weight = 0.0193, loss_D_s = 1.3575 loss_D_t = 0.6213
Iter =    560/ 10000, loss_seg = 0.8969 loss_adv = 0.0069, loss_weight = 0.0193, loss_D_s = 1.1781 loss_D_t = 0.6998
Iter =    570/ 10000, loss_seg = 1.0821 loss_adv = 0.0061, loss_weight = 0.0193, loss_D_s = 1.1723 loss_D_t = 0.6818
Iter =    580/ 10000, loss_seg = 1.1493 loss_adv = 0.0058, loss_weight = 0.0193, loss_D_s = 1.5680 loss_D_t = 0.4824
Iter =    590/ 10000, loss_seg = 0.4782 loss_adv = 0.0058, loss_weight = 0.0193, loss_D_s = 0.9559 loss_D_t = 0.6981
Iter =    600/ 10000, loss_seg = 0.4133 loss_adv = 0.0032, loss_weight = 0.0193, loss_D_s = 1.0405 loss_D_t = 0.5393
Iter =    610/ 10000, loss_seg = 0.3523 loss_adv = 0.0061, loss_weight = 0.0193, loss_D_s = 0.9475 loss_D_t = 0.4158
Iter =    620/ 10000, loss_seg = 0.4244 loss_adv = 0.0053, loss_weight = 0.0192, loss_D_s = 0.5478 loss_D_t = 0.8308
Iter =    630/ 10000, loss_seg = 0.3354 loss_adv = 0.0054, loss_weight = 0.0192, loss_D_s = 1.0220 loss_D_t = 1.0748
Iter =    640/ 10000, loss_seg = 0.5072 loss_adv = 0.0032, loss_weight = 0.0192, loss_D_s = 1.0589 loss_D_t = 0.5124
Iter =    650/ 10000, loss_seg = 1.9363 loss_adv = 0.0043, loss_weight = 0.0192, loss_D_s = 1.1180 loss_D_t = 0.8461
Iter =    660/ 10000, loss_seg = 0.6177 loss_adv = 0.0054, loss_weight = 0.0192, loss_D_s = 0.8116 loss_D_t = 1.5609
