time: 15/01/2020 - 10:19:33

Iter =  10420/ 20000, loss_seg = 0.1128 loss_adv = 0.0010, loss_weight = 0.0100, loss_D_s = 0.5154 loss_D_t = 0.6011
Iter =  10430/ 20000, loss_seg = 0.1501 loss_adv = 0.0010, loss_weight = 0.0100, loss_D_s = 0.3695 loss_D_t = 0.6750
Iter =  10440/ 20000, loss_seg = 0.0867 loss_adv = 0.0014, loss_weight = 0.0100, loss_D_s = 0.3233 loss_D_t = 0.4396
Iter =  10450/ 20000, loss_seg = 0.1286 loss_adv = 0.0011, loss_weight = 0.0099, loss_D_s = 0.4463 loss_D_t = 0.5238
Iter =  10460/ 20000, loss_seg = 0.1872 loss_adv = 0.0010, loss_weight = 0.0099, loss_D_s = 0.4175 loss_D_t = 0.5959
Iter =  10470/ 20000, loss_seg = 0.2138 loss_adv = 0.0013, loss_weight = 0.0099, loss_D_s = 0.9417 loss_D_t = 0.3331
Iter =  10480/ 20000, loss_seg = 0.2365 loss_adv = 0.0012, loss_weight = 0.0099, loss_D_s = 0.5770 loss_D_t = 0.3965
Iter =  10490/ 20000, loss_seg = 0.1305 loss_adv = 0.0010, loss_weight = 0.0099, loss_D_s = 0.4971 loss_D_t = 0.8966
Iter =  10500/ 20000, loss_seg = 0.1393 loss_adv = 0.0013, loss_weight = 0.0099, loss_D_s = 0.4817 loss_D_t = 0.3643
Iter =  10510/ 20000, loss_seg = 0.1438 loss_adv = 0.0012, loss_weight = 0.0099, loss_D_s = 0.3463 loss_D_t = 0.3230
Iter =  10520/ 20000, loss_seg = 0.2119 loss_adv = 0.0013, loss_weight = 0.0099, loss_D_s = 0.4727 loss_D_t = 0.5347
Iter =  10530/ 20000, loss_seg = 0.1001 loss_adv = 0.0010, loss_weight = 0.0099, loss_D_s = 0.4794 loss_D_t = 0.7801
Iter =  10540/ 20000, loss_seg = 0.1596 loss_adv = 0.0011, loss_weight = 0.0099, loss_D_s = 0.3918 loss_D_t = 0.5347
Iter =  10550/ 20000, loss_seg = 0.1965 loss_adv = 0.0014, loss_weight = 0.0098, loss_D_s = 0.4842 loss_D_t = 0.2824
Iter =  10560/ 20000, loss_seg = 0.1814 loss_adv = 0.0011, loss_weight = 0.0098, loss_D_s = 0.4258 loss_D_t = 0.6602
Iter =  10570/ 20000, loss_seg = 0.1819 loss_adv = 0.0018, loss_weight = 0.0098, loss_D_s = 0.5196 loss_D_t = 0.1969
Iter =  10580/ 20000, loss_seg = 0.1768 loss_adv = 0.0011, loss_weight = 0.0098, loss_D_s = 0.3899 loss_D_t = 0.5311
Iter =  10590/ 20000, loss_seg = 0.9148 loss_adv = 0.0012, loss_weight = 0.0098, loss_D_s = 0.5178 loss_D_t = 0.4411
Iter =  10600/ 20000, loss_seg = 0.0651 loss_adv = 0.0012, loss_weight = 0.0098, loss_D_s = 0.2766 loss_D_t = 0.3818
Iter =  10610/ 20000, loss_seg = 0.2348 loss_adv = 0.0012, loss_weight = 0.0098, loss_D_s = 0.3430 loss_D_t = 0.3485
Iter =  10620/ 20000, loss_seg = 0.1096 loss_adv = 0.0012, loss_weight = 0.0098, loss_D_s = 0.3349 loss_D_t = 0.6069
Iter =  10630/ 20000, loss_seg = 0.1313 loss_adv = 0.0012, loss_weight = 0.0098, loss_D_s = 0.3402 loss_D_t = 0.3601
Iter =  10640/ 20000, loss_seg = 0.1258 loss_adv = 0.0015, loss_weight = 0.0098, loss_D_s = 0.4192 loss_D_t = 0.2960
Iter =  10650/ 20000, loss_seg = 0.1471 loss_adv = 0.0011, loss_weight = 0.0097, loss_D_s = 0.3974 loss_D_t = 0.6561
Iter =  10660/ 20000, loss_seg = 0.1419 loss_adv = 0.0010, loss_weight = 0.0097, loss_D_s = 0.3990 loss_D_t = 0.5364
Iter =  10670/ 20000, loss_seg = 0.1934 loss_adv = 0.0013, loss_weight = 0.0097, loss_D_s = 0.5847 loss_D_t = 0.3259
Iter =  10680/ 20000, loss_seg = 0.1468 loss_adv = 0.0011, loss_weight = 0.0097, loss_D_s = 0.5418 loss_D_t = 0.5648
Iter =  10690/ 20000, loss_seg = 0.1427 loss_adv = 0.0011, loss_weight = 0.0097, loss_D_s = 0.5182 loss_D_t = 0.6757
Iter =  10700/ 20000, loss_seg = 0.2173 loss_adv = 0.0012, loss_weight = 0.0097, loss_D_s = 0.6302 loss_D_t = 0.4034
Iter =  10710/ 20000, loss_seg = 0.1689 loss_adv = 0.0011, loss_weight = 0.0097, loss_D_s = 0.3380 loss_D_t = 0.5474
Iter =  10720/ 20000, loss_seg = 0.2430 loss_adv = 0.0011, loss_weight = 0.0097, loss_D_s = 0.5165 loss_D_t = 0.5896
Iter =  10730/ 20000, loss_seg = 0.1505 loss_adv = 0.0010, loss_weight = 0.0097, loss_D_s = 0.3542 loss_D_t = 0.6181
Iter =  10740/ 20000, loss_seg = 0.1196 loss_adv = 0.0016, loss_weight = 0.0096, loss_D_s = 0.6209 loss_D_t = 0.2296
Iter =  10750/ 20000, loss_seg = 0.2278 loss_adv = 0.0009, loss_weight = 0.0096, loss_D_s = 0.2641 loss_D_t = 0.9080
Iter =  10760/ 20000, loss_seg = 0.1559 loss_adv = 0.0013, loss_weight = 0.0096, loss_D_s = 0.2921 loss_D_t = 0.3643
Iter =  10770/ 20000, loss_seg = 0.0905 loss_adv = 0.0011, loss_weight = 0.0096, loss_D_s = 0.6578 loss_D_t = 0.4362
Iter =  10780/ 20000, loss_seg = 0.2436 loss_adv = 0.0011, loss_weight = 0.0096, loss_D_s = 0.3809 loss_D_t = 0.5821
Iter =  10790/ 20000, loss_seg = 0.2244 loss_adv = 0.0011, loss_weight = 0.0096, loss_D_s = 0.4677 loss_D_t = 0.4789
Iter =  10800/ 20000, loss_seg = 0.1600 loss_adv = 0.0011, loss_weight = 0.0096, loss_D_s = 0.8882 loss_D_t = 0.4869
Iter =  10810/ 20000, loss_seg = 0.1405 loss_adv = 0.0010, loss_weight = 0.0096, loss_D_s = 0.2838 loss_D_t = 0.6481
Iter =  10820/ 20000, loss_seg = 0.0827 loss_adv = 0.0012, loss_weight = 0.0096, loss_D_s = 0.5456 loss_D_t = 0.5071
Iter =  10830/ 20000, loss_seg = 0.2749 loss_adv = 0.0011, loss_weight = 0.0096, loss_D_s = 0.5605 loss_D_t = 0.5281
Iter =  10840/ 20000, loss_seg = 0.1507 loss_adv = 0.0013, loss_weight = 0.0095, loss_D_s = 0.5212 loss_D_t = 0.3308
Iter =  10850/ 20000, loss_seg = 0.0815 loss_adv = 0.0012, loss_weight = 0.0095, loss_D_s = 0.5114 loss_D_t = 0.5258
Iter =  10860/ 20000, loss_seg = 0.1174 loss_adv = 0.0011, loss_weight = 0.0095, loss_D_s = 0.5113 loss_D_t = 0.5878
Iter =  10870/ 20000, loss_seg = 0.1206 loss_adv = 0.0011, loss_weight = 0.0095, loss_D_s = 0.8832 loss_D_t = 0.4518
Iter =  10880/ 20000, loss_seg = 0.0770 loss_adv = 0.0012, loss_weight = 0.0095, loss_D_s = 0.5080 loss_D_t = 0.3604
Iter =  10890/ 20000, loss_seg = 0.1615 loss_adv = 0.0012, loss_weight = 0.0095, loss_D_s = 0.3804 loss_D_t = 0.3683
Iter =  10900/ 20000, loss_seg = 0.1693 loss_adv = 0.0015, loss_weight = 0.0095, loss_D_s = 1.0318 loss_D_t = 0.2467
Iter =  10910/ 20000, loss_seg = 0.1763 loss_adv = 0.0010, loss_weight = 0.0095, loss_D_s = 0.3207 loss_D_t = 0.6970
Iter =  10920/ 20000, loss_seg = 0.1200 loss_adv = 0.0012, loss_weight = 0.0095, loss_D_s = 0.5596 loss_D_t = 0.4316
