DateTime: 29/01/2020 - 12:27:54
Random seed: 1234
###########   TRAINING STARTED  ############
Iter =    360/ 48000, loss_seg = 0.5880 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6951 loss_D_t = 0.6912
Iter =    370/ 48000, loss_seg = 1.6165 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6952 loss_D_t = 0.6909
Iter =    380/ 48000, loss_seg = 1.9854 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6949 loss_D_t = 0.6913
Iter =    390/ 48000, loss_seg = 0.5455 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6951 loss_D_t = 0.6911
Iter =    400/ 48000, loss_seg = 1.4051 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6954 loss_D_t = 0.6915
Iter =    410/ 48000, loss_seg = 1.1289 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6950 loss_D_t = 0.6914
Iter =    420/ 48000, loss_seg = 1.1511 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6952 loss_D_t = 0.6912
Iter =    430/ 48000, loss_seg = 1.6011 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6952 loss_D_t = 0.6913
Iter =    440/ 48000, loss_seg = 0.5553 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6950 loss_D_t = 0.6913
Iter =    450/ 48000, loss_seg = 0.7282 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6950 loss_D_t = 0.6913
Iter =    460/ 48000, loss_seg = 0.6258 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6949 loss_D_t = 0.6909
Iter =    470/ 48000, loss_seg = 0.6427 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6949 loss_D_t = 0.6911
Iter =    480/ 48000, loss_seg = 5.9809 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.6949 loss_D_t = 0.6916
Iter =    490/ 48000, loss_seg = 0.8601 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.6950 loss_D_t = 0.6913
Iter =    500/ 48000, loss_seg = 0.6748 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.6954 loss_D_t = 0.6910
