DateTime: 31/01/2020 - 21:53:58
Random seed: 1234
###########   TRAINING STARTED  ############
Iter =    360/ 48000, loss_seg = 1.8789 loss_rot = 1.4791, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.5937 loss_D_t = 0.7282
Iter =    370/ 48000, loss_seg = 1.7718 loss_rot = 1.2338, loss_adv = 0.0008, loss_weight = 0.0199, loss_D_s = 0.5887 loss_D_t = 0.6567
Iter =    380/ 48000, loss_seg = 3.1196 loss_rot = 1.0613, loss_adv = 0.0008, loss_weight = 0.0199, loss_D_s = 0.7004 loss_D_t = 0.6262
Iter =    390/ 48000, loss_seg = 3.8303 loss_rot = 1.2562, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6211 loss_D_t = 0.6627
Iter =    400/ 48000, loss_seg = 2.6865 loss_rot = 0.9345, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.5885 loss_D_t = 0.7010
Iter =    410/ 48000, loss_seg = 2.0434 loss_rot = 0.7176, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6257 loss_D_t = 0.7145
Iter =    420/ 48000, loss_seg = 3.1864 loss_rot = 1.0479, loss_adv = 0.0008, loss_weight = 0.0199, loss_D_s = 0.6317 loss_D_t = 0.6188
Iter =    430/ 48000, loss_seg = 2.2331 loss_rot = 0.7937, loss_adv = 0.0009, loss_weight = 0.0199, loss_D_s = 0.5024 loss_D_t = 0.5622
Iter =    440/ 48000, loss_seg = 1.4226 loss_rot = 0.7555, loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.5870 loss_D_t = 0.6856
Iter =    450/ 48000, loss_seg = 4.3936 loss_rot = 0.8396, loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.7516 loss_D_t = 0.5101
Iter =    460/ 48000, loss_seg = 1.8471 loss_rot = 0.7004, loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.6031 loss_D_t = 0.6284
Iter =    470/ 48000, loss_seg = 7.1961 loss_rot = 0.6464, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.7032 loss_D_t = 0.7368
Iter =    480/ 48000, loss_seg = 2.3351 loss_rot = 0.6476, loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.8319 loss_D_t = 0.6442
Iter =    490/ 48000, loss_seg = 1.5157 loss_rot = 0.6677, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.6563 loss_D_t = 0.6633
Iter =    500/ 48000, loss_seg = 2.1697 loss_rot = 0.3955, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.6100 loss_D_t = 0.7550
Iter =    510/ 48000, loss_seg = 2.9783 loss_rot = 0.5266, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.6636 loss_D_t = 0.7058
Iter =    520/ 48000, loss_seg = 1.8951 loss_rot = 0.3496, loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.5979 loss_D_t = 0.5992
Iter =    530/ 48000, loss_seg = 1.4270 loss_rot = 0.4070, loss_adv = 0.0010, loss_weight = 0.0198, loss_D_s = 0.6725 loss_D_t = 0.5710
Iter =    540/ 48000, loss_seg = 3.5906 loss_rot = 0.4498, loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.7974 loss_D_t = 0.5572
Iter =    550/ 48000, loss_seg = 1.0271 loss_rot = 0.3878, loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.6216 loss_D_t = 0.6585
Iter =    560/ 48000, loss_seg = 4.6934 loss_rot = 0.4476, loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.7230 loss_D_t = 0.6733
Iter =    570/ 48000, loss_seg = 1.1214 loss_rot = 0.4312, loss_adv = 0.0010, loss_weight = 0.0198, loss_D_s = 0.7665 loss_D_t = 0.4904
Iter =    580/ 48000, loss_seg = 4.3188 loss_rot = 0.2941, loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.5304 loss_D_t = 0.6473
Iter =    590/ 48000, loss_seg = 2.1959 loss_rot = 0.2890, loss_adv = 0.0010, loss_weight = 0.0198, loss_D_s = 0.6149 loss_D_t = 0.5017
Iter =    600/ 48000, loss_seg = 1.2165 loss_rot = 0.2359, loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.4615 loss_D_t = 0.5789
Iter =    610/ 48000, loss_seg = 1.9009 loss_rot = 0.2036, loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.6089 loss_D_t = 0.5663
Iter =    620/ 48000, loss_seg = 3.5620 loss_rot = 0.1933, loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.7041 loss_D_t = 0.5705
Iter =    630/ 48000, loss_seg = 2.0650 loss_rot = 0.2381, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.5300 loss_D_t = 0.7846
Iter =    640/ 48000, loss_seg = 1.8790 loss_rot = 0.2598, loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.6465 loss_D_t = 0.5250
Iter =    650/ 48000, loss_seg = 2.0525 loss_rot = 0.2371, loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.6959 loss_D_t = 0.5594
Iter =    660/ 48000, loss_seg = 2.3472 loss_rot = 0.2458, loss_adv = 0.0011, loss_weight = 0.0198, loss_D_s = 1.0324 loss_D_t = 0.4529
Iter =    670/ 48000, loss_seg = 1.3438 loss_rot = 0.1856, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.4283 loss_D_t = 0.7160
Iter =    680/ 48000, loss_seg = 1.4152 loss_rot = 0.1368, loss_adv = 0.0010, loss_weight = 0.0198, loss_D_s = 0.5434 loss_D_t = 0.5431
Iter =    690/ 48000, loss_seg = 1.4521 loss_rot = 0.1667, loss_adv = 0.0010, loss_weight = 0.0198, loss_D_s = 0.7777 loss_D_t = 0.5450
Iter =    700/ 48000, loss_seg = 0.8930 loss_rot = 0.2403, loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.6447 loss_D_t = 0.7081
Iter =    710/ 48000, loss_seg = 1.1075 loss_rot = 0.1414, loss_adv = 0.0010, loss_weight = 0.0198, loss_D_s = 0.5676 loss_D_t = 0.5631
Iter =    720/ 48000, loss_seg = 1.2408 loss_rot = 0.3732, loss_adv = 0.0010, loss_weight = 0.0198, loss_D_s = 0.4938 loss_D_t = 0.5698
Iter =    730/ 48000, loss_seg = 1.9401 loss_rot = 0.2379, loss_adv = 0.0008, loss_weight = 0.0197, loss_D_s = 0.7079 loss_D_t = 0.7410
Iter =    740/ 48000, loss_seg = 1.5247 loss_rot = 0.1144, loss_adv = 0.0009, loss_weight = 0.0197, loss_D_s = 0.6210 loss_D_t = 0.5919
Iter =    750/ 48000, loss_seg = 1.2286 loss_rot = 0.1514, loss_adv = 0.0009, loss_weight = 0.0197, loss_D_s = 0.5695 loss_D_t = 0.5589
Iter =    760/ 48000, loss_seg = 1.8470 loss_rot = 0.0979, loss_adv = 0.0010, loss_weight = 0.0197, loss_D_s = 0.4955 loss_D_t = 0.6208
Iter =    770/ 48000, loss_seg = 0.6697 loss_rot = 0.2797, loss_adv = 0.0006, loss_weight = 0.0197, loss_D_s = 0.4460 loss_D_t = 0.8760
Iter =    780/ 48000, loss_seg = 1.8575 loss_rot = 0.0950, loss_adv = 0.0008, loss_weight = 0.0197, loss_D_s = 0.5635 loss_D_t = 0.6717
Iter =    790/ 48000, loss_seg = 1.4663 loss_rot = 0.1987, loss_adv = 0.0008, loss_weight = 0.0197, loss_D_s = 0.6517 loss_D_t = 0.7280
Iter =    800/ 48000, loss_seg = 1.7501 loss_rot = 0.1165, loss_adv = 0.0013, loss_weight = 0.0197, loss_D_s = 0.9285 loss_D_t = 0.3944
Iter =    810/ 48000, loss_seg = 2.0964 loss_rot = 0.1127, loss_adv = 0.0012, loss_weight = 0.0197, loss_D_s = 0.4520 loss_D_t = 0.6421
Iter =    820/ 48000, loss_seg = 0.8637 loss_rot = 0.0752, loss_adv = 0.0009, loss_weight = 0.0197, loss_D_s = 0.5322 loss_D_t = 0.6298
Iter =    830/ 48000, loss_seg = 4.4386 loss_rot = 0.1663, loss_adv = 0.0009, loss_weight = 0.0197, loss_D_s = 0.5892 loss_D_t = 0.5542
Iter =    840/ 48000, loss_seg = 0.9516 loss_rot = 0.0872, loss_adv = 0.0010, loss_weight = 0.0197, loss_D_s = 0.3908 loss_D_t = 0.5904
Iter =    850/ 48000, loss_seg = 0.9634 loss_rot = 0.0497, loss_adv = 0.0011, loss_weight = 0.0197, loss_D_s = 0.3717 loss_D_t = 0.7053
Iter =    860/ 48000, loss_seg = 1.5611 loss_rot = 0.0672, loss_adv = 0.0008, loss_weight = 0.0197, loss_D_s = 0.9413 loss_D_t = 0.8093
Iter =    870/ 48000, loss_seg = 1.1576 loss_rot = 0.2756, loss_adv = 0.0007, loss_weight = 0.0197, loss_D_s = 0.2971 loss_D_t = 0.7178
Iter =    880/ 48000, loss_seg = 0.6426 loss_rot = 0.0985, loss_adv = 0.0011, loss_weight = 0.0197, loss_D_s = 0.5199 loss_D_t = 0.4869
Iter =    890/ 48000, loss_seg = 0.7834 loss_rot = 0.0618, loss_adv = 0.0009, loss_weight = 0.0197, loss_D_s = 0.5596 loss_D_t = 0.8067
Iter =    900/ 48000, loss_seg = 1.4160 loss_rot = 0.0522, loss_adv = 0.0010, loss_weight = 0.0197, loss_D_s = 0.3483 loss_D_t = 0.5770
Iter =    910/ 48000, loss_seg = 1.8927 loss_rot = 0.0694, loss_adv = 0.0012, loss_weight = 0.0197, loss_D_s = 0.6532 loss_D_t = 0.4621
Iter =    920/ 48000, loss_seg = 2.0527 loss_rot = 0.0751, loss_adv = 0.0011, loss_weight = 0.0197, loss_D_s = 0.5827 loss_D_t = 0.5104
Iter =    930/ 48000, loss_seg = 0.7630 loss_rot = 0.0548, loss_adv = 0.0010, loss_weight = 0.0197, loss_D_s = 0.4868 loss_D_t = 0.5162
Iter =    940/ 48000, loss_seg = 1.0032 loss_rot = 0.0705, loss_adv = 0.0010, loss_weight = 0.0197, loss_D_s = 0.7342 loss_D_t = 0.5718
Iter =    950/ 48000, loss_seg = 0.7202 loss_rot = 0.1137, loss_adv = 0.0014, loss_weight = 0.0197, loss_D_s = 0.9246 loss_D_t = 0.3832
Iter =    960/ 48000, loss_seg = 0.5956 loss_rot = 0.0570, loss_adv = 0.0009, loss_weight = 0.0197, loss_D_s = 0.4913 loss_D_t = 0.6337
Iter =    970/ 48000, loss_seg = 0.3955 loss_rot = 0.0392, loss_adv = 0.0012, loss_weight = 0.0197, loss_D_s = 0.4344 loss_D_t = 0.4517
Iter =    980/ 48000, loss_seg = 1.3108 loss_rot = 0.0686, loss_adv = 0.0010, loss_weight = 0.0197, loss_D_s = 0.4399 loss_D_t = 0.5402
Iter =    990/ 48000, loss_seg = 2.5789 loss_rot = 0.1465, loss_adv = 0.0008, loss_weight = 0.0197, loss_D_s = 0.4784 loss_D_t = 0.7531
Iter =   1000/ 48000, loss_seg = 0.5254 loss_rot = 0.0772, loss_adv = 0.0009, loss_weight = 0.0197, loss_D_s = 0.5224 loss_D_t = 0.5740
Iter =   1010/ 48000, loss_seg = 0.7230 loss_rot = 0.0586, loss_adv = 0.0012, loss_weight = 0.0196, loss_D_s = 0.7227 loss_D_t = 0.4580
Iter =   1020/ 48000, loss_seg = 0.6432 loss_rot = 0.0368, loss_adv = 0.0008, loss_weight = 0.0196, loss_D_s = 0.4625 loss_D_t = 0.8490
