time: 14/01/2020 - 17:55:18
###########   TRAINING STARTED  ############
Iter =    420/ 10000, loss_seg = 0.5075 loss_adv = 0.0008, loss_weight = 0.0194, loss_D_s = 0.5947 loss_D_t = 0.6220
Iter =    430/ 10000, loss_seg = 0.6054 loss_adv = 0.0008, loss_weight = 0.0194, loss_D_s = 0.6751 loss_D_t = 0.6462
Iter =    440/ 10000, loss_seg = 0.3325 loss_adv = 0.0009, loss_weight = 0.0194, loss_D_s = 0.7589 loss_D_t = 0.5833
Iter =    450/ 10000, loss_seg = 0.4201 loss_adv = 0.0009, loss_weight = 0.0194, loss_D_s = 0.6945 loss_D_t = 0.6069
Iter =    460/ 10000, loss_seg = 0.5228 loss_adv = 0.0009, loss_weight = 0.0194, loss_D_s = 0.5785 loss_D_t = 0.5633
Iter =    470/ 10000, loss_seg = 0.5490 loss_adv = 0.0011, loss_weight = 0.0194, loss_D_s = 0.7104 loss_D_t = 0.5359
Iter =    480/ 10000, loss_seg = 0.8276 loss_adv = 0.0008, loss_weight = 0.0194, loss_D_s = 0.5757 loss_D_t = 0.6796
Iter =    490/ 10000, loss_seg = 0.3900 loss_adv = 0.0010, loss_weight = 0.0193, loss_D_s = 0.7142 loss_D_t = 0.5305
Iter =    500/ 10000, loss_seg = 0.7438 loss_adv = 0.0009, loss_weight = 0.0193, loss_D_s = 0.5620 loss_D_t = 0.7408
Iter =    510/ 10000, loss_seg = 0.3996 loss_adv = 0.0096, loss_weight = 0.0193, loss_D_s = 2.2959 loss_D_t = 0.2963
Iter =    520/ 10000, loss_seg = 0.3678 loss_adv = 0.0090, loss_weight = 0.0193, loss_D_s = 1.2754 loss_D_t = 0.3672
Iter =    530/ 10000, loss_seg = 1.0528 loss_adv = 0.0064, loss_weight = 0.0193, loss_D_s = 1.0669 loss_D_t = 0.6247
Iter =    540/ 10000, loss_seg = 0.2732 loss_adv = 0.0058, loss_weight = 0.0193, loss_D_s = 1.3347 loss_D_t = 0.8364
Iter =    550/ 10000, loss_seg = 2.0302 loss_adv = 0.0090, loss_weight = 0.0193, loss_D_s = 1.1758 loss_D_t = 0.5054
Iter =    560/ 10000, loss_seg = 0.2307 loss_adv = 0.0034, loss_weight = 0.0192, loss_D_s = 0.6940 loss_D_t = 0.6303
Iter =    570/ 10000, loss_seg = 0.3800 loss_adv = 0.0049, loss_weight = 0.0192, loss_D_s = 0.5938 loss_D_t = 0.7016
