time: 16/01/2020 - 00:10:57

Iter =    430/ 50000, loss_seg = 2.0823 loss_adv = 0.0010, loss_weight = 0.0200, loss_D_s = 0.6924 loss_D_t = 0.5165
Iter =    440/ 50000, loss_seg = 0.7229 loss_adv = 0.0009, loss_weight = 0.0200, loss_D_s = 0.6731 loss_D_t = 0.5808
Iter =    450/ 50000, loss_seg = 0.4861 loss_adv = 0.0008, loss_weight = 0.0200, loss_D_s = 0.5045 loss_D_t = 0.6604
Iter =    460/ 50000, loss_seg = 3.1786 loss_adv = 0.0009, loss_weight = 0.0200, loss_D_s = 0.7844 loss_D_t = 0.6396
Iter =    470/ 50000, loss_seg = 0.6173 loss_adv = 0.0009, loss_weight = 0.0199, loss_D_s = 0.6104 loss_D_t = 0.6247
Iter =    480/ 50000, loss_seg = 0.6140 loss_adv = 0.0009, loss_weight = 0.0199, loss_D_s = 0.6211 loss_D_t = 0.6257
Iter =    490/ 50000, loss_seg = 1.1865 loss_adv = 0.0009, loss_weight = 0.0199, loss_D_s = 0.6504 loss_D_t = 0.5406
Iter =    500/ 50000, loss_seg = 1.8939 loss_adv = 0.0008, loss_weight = 0.0199, loss_D_s = 0.6039 loss_D_t = 0.6443
Iter =    510/ 50000, loss_seg = 0.9093 loss_adv = 0.0009, loss_weight = 0.0199, loss_D_s = 0.9569 loss_D_t = 0.5582
Iter =    520/ 50000, loss_seg = 0.7433 loss_adv = 0.0008, loss_weight = 0.0199, loss_D_s = 0.6014 loss_D_t = 0.6485
Iter =    530/ 50000, loss_seg = 0.5994 loss_adv = 0.0009, loss_weight = 0.0199, loss_D_s = 0.7231 loss_D_t = 0.4963
Iter =    540/ 50000, loss_seg = 0.5343 loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.3776 loss_D_t = 0.7471
Iter =    550/ 50000, loss_seg = 0.8598 loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.3201 loss_D_t = 0.8077
Iter =    560/ 50000, loss_seg = 0.4274 loss_adv = 0.0009, loss_weight = 0.0199, loss_D_s = 0.5523 loss_D_t = 0.6025
