DateTime: 05/02/2020 - 12:10:30
Random seed: 1234
###########   TRAINING STARTED  ############
Iter =  45660/ 48000, loss_seg = 0.0918 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0011, loss_D_s = 0.0732 loss_D_t = 0.3477
Iter =  45670/ 48000, loss_seg = 0.1962 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0010, loss_D_s = 0.1303 loss_D_t = 0.1819
Iter =  45680/ 48000, loss_seg = 0.1444 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0010, loss_D_s = 0.2081 loss_D_t = 0.2116
Iter =  45690/ 48000, loss_seg = 0.1457 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0010, loss_D_s = 0.2196 loss_D_t = 0.1542
Iter =  45700/ 48000, loss_seg = 0.2070 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0010, loss_D_s = 0.1384 loss_D_t = 0.2621
Iter =  45710/ 48000, loss_seg = 0.2096 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0010, loss_D_s = 0.1694 loss_D_t = 0.2018
Iter =  45720/ 48000, loss_seg = 0.1906 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0010, loss_D_s = 0.2403 loss_D_t = 0.2771
Iter =  45730/ 48000, loss_seg = 0.0560 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0010, loss_D_s = 0.2247 loss_D_t = 0.3081
Iter =  45740/ 48000, loss_seg = 0.1542 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0010, loss_D_s = 0.2674 loss_D_t = 0.2663
Iter =  45750/ 48000, loss_seg = 0.1751 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0010, loss_D_s = 0.2269 loss_D_t = 0.1876
Iter =  45760/ 48000, loss_seg = 0.1750 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0010, loss_D_s = 0.6530 loss_D_t = 0.2048
Iter =  45770/ 48000, loss_seg = 0.2454 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0010, loss_D_s = 0.1276 loss_D_t = 0.2610
Iter =  45780/ 48000, loss_seg = 0.1650 loss_rot = 0.0000, loss_adv = 0.0003, loss_weight = 0.0010, loss_D_s = 0.1288 loss_D_t = 0.2477
Iter =  45790/ 48000, loss_seg = 0.1012 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0010, loss_D_s = 0.0978 loss_D_t = 0.2453
Iter =  45800/ 48000, loss_seg = 0.3286 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0010, loss_D_s = 0.1499 loss_D_t = 0.4112
Iter =  45810/ 48000, loss_seg = 0.3344 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0010, loss_D_s = 0.1130 loss_D_t = 0.2429
Iter =  45820/ 48000, loss_seg = 0.1411 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0010, loss_D_s = 0.2203 loss_D_t = 0.2270
Iter =  45830/ 48000, loss_seg = 0.2576 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0010, loss_D_s = 0.3117 loss_D_t = 0.1659
Iter =  45840/ 48000, loss_seg = 0.1631 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0010, loss_D_s = 0.2024 loss_D_t = 0.2377
Iter =  45850/ 48000, loss_seg = 0.0979 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0010, loss_D_s = 0.2453 loss_D_t = 0.3009
Iter =  45860/ 48000, loss_seg = 0.1410 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0010, loss_D_s = 0.1561 loss_D_t = 0.2336
Iter =  45870/ 48000, loss_seg = 0.2156 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0010, loss_D_s = 0.1107 loss_D_t = 0.2462
Iter =  45880/ 48000, loss_seg = 0.0681 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0010, loss_D_s = 0.0977 loss_D_t = 0.2394
Iter =  45890/ 48000, loss_seg = 0.0872 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0010, loss_D_s = 0.3458 loss_D_t = 0.2830
Iter =  45900/ 48000, loss_seg = 0.0582 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0009, loss_D_s = 0.2008 loss_D_t = 0.2014
Iter =  45910/ 48000, loss_seg = 0.2858 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0009, loss_D_s = 0.1767 loss_D_t = 0.1884
Iter =  45920/ 48000, loss_seg = 0.0995 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0009, loss_D_s = 0.2926 loss_D_t = 0.2547
Iter =  45930/ 48000, loss_seg = 0.1992 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0009, loss_D_s = 0.2076 loss_D_t = 0.2802
Iter =  45940/ 48000, loss_seg = 0.1226 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0009, loss_D_s = 0.1710 loss_D_t = 0.2829
Iter =  45950/ 48000, loss_seg = 0.1888 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0009, loss_D_s = 0.3650 loss_D_t = 0.3149
Iter =  45960/ 48000, loss_seg = 0.1296 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0009, loss_D_s = 0.3182 loss_D_t = 0.1838
Iter =  45970/ 48000, loss_seg = 0.1697 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0009, loss_D_s = 0.1594 loss_D_t = 0.2584
Iter =  45980/ 48000, loss_seg = 0.0957 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0009, loss_D_s = 0.2770 loss_D_t = 0.1467
Iter =  45990/ 48000, loss_seg = 0.1185 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0009, loss_D_s = 0.1459 loss_D_t = 0.3216
Iter =  46000/ 48000, loss_seg = 0.1818 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0009, loss_D_s = 0.1463 loss_D_t = 0.1934
Iter =  46010/ 48000, loss_seg = 0.2310 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0009, loss_D_s = 0.1619 loss_D_t = 0.1570
