DateTime: 27/01/2020 - 14:23:32
Random seed: 1234
###########   TRAINING STARTED  ############
Iter =    360/ 48000, loss_seg = 5.1309 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.8115 loss_D_t = 0.6267
Iter =    370/ 48000, loss_seg = 1.7058 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.6019 loss_D_t = 0.5888
Iter =    380/ 48000, loss_seg = 5.0113 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.6921 loss_D_t = 0.7304
Iter =    390/ 48000, loss_seg = 1.8675 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.7615 loss_D_t = 0.7541
Iter =    400/ 48000, loss_seg = 5.3930 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.6648 loss_D_t = 0.7189
Iter =    410/ 48000, loss_seg = 1.9105 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.6710 loss_D_t = 0.6189
Iter =    420/ 48000, loss_seg = 4.1121 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.7201 loss_D_t = 0.6153
Iter =    430/ 48000, loss_seg = 1.9529 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.6765 loss_D_t = 0.6293
Iter =    440/ 48000, loss_seg = 1.4743 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.5973 loss_D_t = 0.6455
Iter =    450/ 48000, loss_seg = 2.0677 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.6396 loss_D_t = 0.6305
Iter =    460/ 48000, loss_seg = 1.8618 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.6874 loss_D_t = 0.5496
Iter =    470/ 48000, loss_seg = 2.9968 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.6842 loss_D_t = 0.6478
Iter =    480/ 48000, loss_seg = 1.8000 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.4984 loss_D_t = 0.7275
Iter =    490/ 48000, loss_seg = 1.0229 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.7676 loss_D_t = 0.5621
Iter =    500/ 48000, loss_seg = 1.7769 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.5841 loss_D_t = 0.7363
Iter =    510/ 48000, loss_seg = 2.3326 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.5323 loss_D_t = 0.7108
Iter =    520/ 48000, loss_seg = 1.1890 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.6684 loss_D_t = 0.6458
Iter =    530/ 48000, loss_seg = 2.2696 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.5252 loss_D_t = 0.6332
Iter =    540/ 48000, loss_seg = 1.9566 loss_rot = 0.0000, loss_adv = 0.0006, loss_weight = 0.0198, loss_D_s = 0.6308 loss_D_t = 0.7699
Iter =    550/ 48000, loss_seg = 1.6554 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.6091 loss_D_t = 0.6798
Iter =    560/ 48000, loss_seg = 0.8741 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.5977 loss_D_t = 0.6923
Iter =    570/ 48000, loss_seg = 3.4887 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.7998 loss_D_t = 0.5804
Iter =    580/ 48000, loss_seg = 1.8259 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.6965 loss_D_t = 0.6290
Iter =    590/ 48000, loss_seg = 3.8295 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.7057 loss_D_t = 0.5283
Iter =    600/ 48000, loss_seg = 1.1186 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.7505 loss_D_t = 0.6627
Iter =    610/ 48000, loss_seg = 2.5665 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.6853 loss_D_t = 0.6244
Iter =    620/ 48000, loss_seg = 1.7014 loss_rot = 0.0000, loss_adv = 0.0006, loss_weight = 0.0198, loss_D_s = 0.4670 loss_D_t = 0.8467
Iter =    630/ 48000, loss_seg = 1.0422 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.5775 loss_D_t = 0.6240
Iter =    640/ 48000, loss_seg = 0.9032 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0197, loss_D_s = 0.6518 loss_D_t = 0.6222
Iter =    650/ 48000, loss_seg = 1.6094 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0197, loss_D_s = 0.4902 loss_D_t = 0.6523
Iter =    660/ 48000, loss_seg = 1.1301 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0197, loss_D_s = 0.6183 loss_D_t = 0.7332
Iter =    670/ 48000, loss_seg = 1.3484 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0197, loss_D_s = 0.5969 loss_D_t = 0.5700
Iter =    680/ 48000, loss_seg = 3.7245 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0197, loss_D_s = 0.7082 loss_D_t = 0.6407
Iter =    690/ 48000, loss_seg = 2.5467 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0197, loss_D_s = 0.7906 loss_D_t = 0.5715
Iter =    700/ 48000, loss_seg = 1.4271 loss_rot = 0.0000, loss_adv = 0.0010, loss_weight = 0.0197, loss_D_s = 0.8449 loss_D_t = 0.5082
