DateTime: 29/01/2020 - 23:45:09
Random seed: 1234
###########   TRAINING STARTED  ############
Iter =    360/ 48000, loss_seg = 1.2189 loss_rot = 2.7956, loss_adv = 0.0073, loss_weight = 0.0199, loss_D_s = 0.6333 loss_D_t = 0.6836
Iter =    370/ 48000, loss_seg = 2.2639 loss_rot = 2.9067, loss_adv = 0.0076, loss_weight = 0.0199, loss_D_s = 0.6291 loss_D_t = 0.6654
Iter =    380/ 48000, loss_seg = 0.6550 loss_rot = 3.5591, loss_adv = 0.0072, loss_weight = 0.0199, loss_D_s = 0.6557 loss_D_t = 0.7195
Iter =    390/ 48000, loss_seg = 1.3468 loss_rot = 2.3994, loss_adv = 0.0085, loss_weight = 0.0199, loss_D_s = 0.6548 loss_D_t = 0.5834
Iter =    400/ 48000, loss_seg = 3.2993 loss_rot = 2.5327, loss_adv = 0.0087, loss_weight = 0.0199, loss_D_s = 0.6637 loss_D_t = 0.5610
Iter =    410/ 48000, loss_seg = 1.0305 loss_rot = 2.0996, loss_adv = 0.0087, loss_weight = 0.0199, loss_D_s = 0.6330 loss_D_t = 0.5518
Iter =    420/ 48000, loss_seg = 0.5527 loss_rot = 2.4628, loss_adv = 0.0073, loss_weight = 0.0199, loss_D_s = 0.4169 loss_D_t = 0.7194
Iter =    430/ 48000, loss_seg = 0.6445 loss_rot = 2.6585, loss_adv = 0.0099, loss_weight = 0.0199, loss_D_s = 0.8234 loss_D_t = 0.4929
Iter =    440/ 48000, loss_seg = 1.5419 loss_rot = 3.3330, loss_adv = 0.0072, loss_weight = 0.0199, loss_D_s = 0.5624 loss_D_t = 0.6944
Iter =    450/ 48000, loss_seg = 0.8615 loss_rot = 2.7269, loss_adv = 0.0069, loss_weight = 0.0199, loss_D_s = 0.5343 loss_D_t = 0.7269
Iter =    460/ 48000, loss_seg = 0.5696 loss_rot = 2.3621, loss_adv = 0.0069, loss_weight = 0.0199, loss_D_s = 0.5142 loss_D_t = 0.7206
Iter =    470/ 48000, loss_seg = 0.8408 loss_rot = 2.9011, loss_adv = 0.0082, loss_weight = 0.0199, loss_D_s = 0.8829 loss_D_t = 0.7032
Iter =    480/ 48000, loss_seg = 1.8333 loss_rot = 2.9497, loss_adv = 0.0068, loss_weight = 0.0199, loss_D_s = 0.5486 loss_D_t = 0.8177
