DateTime: 05/02/2020 - 12:13:33
Random seed: 1234
###########   TRAINING STARTED  ############
Iter =  20370/ 48000, loss_seg = 0.2145 loss_rot = 0.0020, loss_adv = 0.0003, loss_weight = 0.0122, loss_D_s = 0.5296 loss_D_t = 0.3287
Iter =  20380/ 48000, loss_seg = 0.1426 loss_rot = 0.0020, loss_adv = 0.0002, loss_weight = 0.0122, loss_D_s = 0.2356 loss_D_t = 0.5186
Iter =  20390/ 48000, loss_seg = 0.2408 loss_rot = 0.0060, loss_adv = 0.0006, loss_weight = 0.0122, loss_D_s = 0.2821 loss_D_t = 0.6595
Iter =  20400/ 48000, loss_seg = 0.1393 loss_rot = 0.0146, loss_adv = 0.0003, loss_weight = 0.0122, loss_D_s = 0.5655 loss_D_t = 0.4586
Iter =  20410/ 48000, loss_seg = 0.1773 loss_rot = 0.0017, loss_adv = 0.0004, loss_weight = 0.0122, loss_D_s = 0.4303 loss_D_t = 0.3647
Iter =  20420/ 48000, loss_seg = 0.5492 loss_rot = 0.0058, loss_adv = 0.0007, loss_weight = 0.0122, loss_D_s = 0.6645 loss_D_t = 0.4009
Iter =  20430/ 48000, loss_seg = 0.3312 loss_rot = 0.0010, loss_adv = 0.0002, loss_weight = 0.0122, loss_D_s = 0.7188 loss_D_t = 0.5919
Iter =  20440/ 48000, loss_seg = 0.1152 loss_rot = 0.0007, loss_adv = 0.0003, loss_weight = 0.0122, loss_D_s = 0.1762 loss_D_t = 0.4496
Iter =  20450/ 48000, loss_seg = 0.8486 loss_rot = 0.0017, loss_adv = 0.0003, loss_weight = 0.0122, loss_D_s = 0.3933 loss_D_t = 0.3713
Iter =  20460/ 48000, loss_seg = 0.1460 loss_rot = 0.0006, loss_adv = 0.0002, loss_weight = 0.0122, loss_D_s = 0.3221 loss_D_t = 0.3615
Iter =  20470/ 48000, loss_seg = 0.1709 loss_rot = 0.0007, loss_adv = 0.0002, loss_weight = 0.0122, loss_D_s = 0.2293 loss_D_t = 0.5470
Iter =  20480/ 48000, loss_seg = 0.2242 loss_rot = 0.0022, loss_adv = 0.0003, loss_weight = 0.0122, loss_D_s = 0.3637 loss_D_t = 0.4392
Iter =  20490/ 48000, loss_seg = 0.2173 loss_rot = 0.0015, loss_adv = 0.0003, loss_weight = 0.0122, loss_D_s = 0.4491 loss_D_t = 0.3196
Iter =  20500/ 48000, loss_seg = 0.1413 loss_rot = 0.0013, loss_adv = 0.0005, loss_weight = 0.0122, loss_D_s = 0.3895 loss_D_t = 0.4472
Iter =  20510/ 48000, loss_seg = 0.0994 loss_rot = 0.0008, loss_adv = 0.0002, loss_weight = 0.0122, loss_D_s = 0.2820 loss_D_t = 0.4684
Iter =  20520/ 48000, loss_seg = 0.2577 loss_rot = 0.0006, loss_adv = 0.0002, loss_weight = 0.0122, loss_D_s = 0.2670 loss_D_t = 0.3614
Iter =  20530/ 48000, loss_seg = 0.0994 loss_rot = 0.0014, loss_adv = 0.0002, loss_weight = 0.0122, loss_D_s = 0.4005 loss_D_t = 0.4157
Iter =  20540/ 48000, loss_seg = 0.1112 loss_rot = 0.0003, loss_adv = 0.0003, loss_weight = 0.0121, loss_D_s = 0.1525 loss_D_t = 0.4900
Iter =  20550/ 48000, loss_seg = 0.1510 loss_rot = 0.0005, loss_adv = 0.0002, loss_weight = 0.0121, loss_D_s = 0.3249 loss_D_t = 0.3541
Iter =  20560/ 48000, loss_seg = 0.1603 loss_rot = 0.0021, loss_adv = 0.0003, loss_weight = 0.0121, loss_D_s = 0.5237 loss_D_t = 0.3510
Iter =  20570/ 48000, loss_seg = 0.1426 loss_rot = 0.0007, loss_adv = 0.0002, loss_weight = 0.0121, loss_D_s = 0.2210 loss_D_t = 0.3848
Iter =  20580/ 48000, loss_seg = 0.2900 loss_rot = 0.0006, loss_adv = 0.0002, loss_weight = 0.0121, loss_D_s = 0.6012 loss_D_t = 0.4594
Iter =  20590/ 48000, loss_seg = 0.1715 loss_rot = 0.0007, loss_adv = 0.0004, loss_weight = 0.0121, loss_D_s = 0.3982 loss_D_t = 0.3608
Iter =  20600/ 48000, loss_seg = 0.1704 loss_rot = 0.0040, loss_adv = 0.0004, loss_weight = 0.0121, loss_D_s = 0.4081 loss_D_t = 0.3850
Iter =  20610/ 48000, loss_seg = 0.3868 loss_rot = 0.0006, loss_adv = 0.0002, loss_weight = 0.0121, loss_D_s = 0.2918 loss_D_t = 0.4096
Iter =  20620/ 48000, loss_seg = 0.1032 loss_rot = 0.0013, loss_adv = 0.0004, loss_weight = 0.0121, loss_D_s = 0.2441 loss_D_t = 0.3980
Iter =  20630/ 48000, loss_seg = 0.1474 loss_rot = 0.0022, loss_adv = 0.0002, loss_weight = 0.0121, loss_D_s = 0.2492 loss_D_t = 0.4633
Iter =  20640/ 48000, loss_seg = 0.1259 loss_rot = 0.0005, loss_adv = 0.0004, loss_weight = 0.0121, loss_D_s = 0.3093 loss_D_t = 0.3118
Iter =  20650/ 48000, loss_seg = 0.1195 loss_rot = 0.0009, loss_adv = 0.0002, loss_weight = 0.0121, loss_D_s = 0.1614 loss_D_t = 0.4536
Iter =  20660/ 48000, loss_seg = 0.2477 loss_rot = 0.0004, loss_adv = 0.0004, loss_weight = 0.0121, loss_D_s = 0.7345 loss_D_t = 0.3612
Iter =  20670/ 48000, loss_seg = 0.2696 loss_rot = 0.0003, loss_adv = 0.0003, loss_weight = 0.0121, loss_D_s = 0.1865 loss_D_t = 0.5277
Iter =  20680/ 48000, loss_seg = 0.1118 loss_rot = 0.0004, loss_adv = 0.0002, loss_weight = 0.0121, loss_D_s = 0.4145 loss_D_t = 0.3410
Iter =  20690/ 48000, loss_seg = 0.1925 loss_rot = 0.0002, loss_adv = 0.0002, loss_weight = 0.0121, loss_D_s = 0.3051 loss_D_t = 0.4207
Iter =  20700/ 48000, loss_seg = 0.1740 loss_rot = 0.0002, loss_adv = 0.0002, loss_weight = 0.0121, loss_D_s = 0.2975 loss_D_t = 0.4225
Iter =  20710/ 48000, loss_seg = 0.4251 loss_rot = 0.0002, loss_adv = 0.0002, loss_weight = 0.0121, loss_D_s = 0.3450 loss_D_t = 0.4737
Iter =  20720/ 48000, loss_seg = 0.2574 loss_rot = 0.0009, loss_adv = 0.0002, loss_weight = 0.0121, loss_D_s = 0.5618 loss_D_t = 0.3690
Iter =  20730/ 48000, loss_seg = 0.2639 loss_rot = 0.0001, loss_adv = 0.0001, loss_weight = 0.0121, loss_D_s = 0.4005 loss_D_t = 0.4825
Iter =  20740/ 48000, loss_seg = 0.1908 loss_rot = 0.0003, loss_adv = 0.0002, loss_weight = 0.0121, loss_D_s = 0.5034 loss_D_t = 0.3134
Iter =  20750/ 48000, loss_seg = 0.3085 loss_rot = 0.0012, loss_adv = 0.0002, loss_weight = 0.0121, loss_D_s = 0.2607 loss_D_t = 0.5563
Iter =  20760/ 48000, loss_seg = 0.2707 loss_rot = 0.0006, loss_adv = 0.0004, loss_weight = 0.0120, loss_D_s = 0.4674 loss_D_t = 0.3908
Iter =  20770/ 48000, loss_seg = 0.1324 loss_rot = 0.0001, loss_adv = 0.0002, loss_weight = 0.0120, loss_D_s = 0.3673 loss_D_t = 0.4541
Iter =  20780/ 48000, loss_seg = 0.1197 loss_rot = 0.0001, loss_adv = 0.0002, loss_weight = 0.0120, loss_D_s = 0.3329 loss_D_t = 0.4671
Iter =  20790/ 48000, loss_seg = 0.2024 loss_rot = 0.0002, loss_adv = 0.0003, loss_weight = 0.0120, loss_D_s = 0.2912 loss_D_t = 0.4352
Iter =  20800/ 48000, loss_seg = 0.2072 loss_rot = 0.0003, loss_adv = 0.0002, loss_weight = 0.0120, loss_D_s = 0.2172 loss_D_t = 0.5054
Iter =  20810/ 48000, loss_seg = 0.2282 loss_rot = 0.0004, loss_adv = 0.0002, loss_weight = 0.0120, loss_D_s = 0.2712 loss_D_t = 0.5168
Iter =  20820/ 48000, loss_seg = 0.1389 loss_rot = 0.0001, loss_adv = 0.0003, loss_weight = 0.0120, loss_D_s = 0.3456 loss_D_t = 0.3323
