DateTime: 28/01/2020 - 11:27:42
Random seed: 1234
###########   TRAINING STARTED  ############
Iter =      0/ 32000, loss_seg = 12.6216 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6853 loss_D_t = 0.7009
Iter =     10/ 32000, loss_seg = 13.9918 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6853 loss_D_t = 0.7010
Iter =     20/ 32000, loss_seg = 12.4225 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6853 loss_D_t = 0.7011
Iter =     30/ 32000, loss_seg = 11.1277 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6850 loss_D_t = 0.7012
Iter =     40/ 32000, loss_seg = 10.8977 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6845 loss_D_t = 0.7017
Iter =     50/ 32000, loss_seg = 9.9116 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6842 loss_D_t = 0.7020
Iter =     60/ 32000, loss_seg = 7.1415 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6832 loss_D_t = 0.7027
Iter =     70/ 32000, loss_seg = 5.5937 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6825 loss_D_t = 0.7032
Iter =     80/ 32000, loss_seg = 6.1809 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6821 loss_D_t = 0.7034
Iter =     90/ 32000, loss_seg = 5.9508 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6820 loss_D_t = 0.7038
Iter =    100/ 32000, loss_seg = 7.1416 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0200, loss_D_s = 0.6822 loss_D_t = 0.7033
Iter =    110/ 32000, loss_seg = 7.4709 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6820 loss_D_t = 0.7031
Iter =    120/ 32000, loss_seg = 5.9738 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6819 loss_D_t = 0.7032
Iter =    130/ 32000, loss_seg = 7.4477 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6807 loss_D_t = 0.7025
Iter =    140/ 32000, loss_seg = 4.9233 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6763 loss_D_t = 0.7008
Iter =    150/ 32000, loss_seg = 2.3670 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6694 loss_D_t = 0.7108
Iter =    160/ 32000, loss_seg = 3.0958 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6838 loss_D_t = 0.7057
Iter =    170/ 32000, loss_seg = 2.7351 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6613 loss_D_t = 0.6931
Iter =    180/ 32000, loss_seg = 2.7389 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6828 loss_D_t = 0.6707
Iter =    190/ 32000, loss_seg = 7.1818 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6789 loss_D_t = 0.6930
Iter =    200/ 32000, loss_seg = 3.8678 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0199, loss_D_s = 0.6403 loss_D_t = 0.6181
Iter =    210/ 32000, loss_seg = 4.4841 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6660 loss_D_t = 0.7372
Iter =    220/ 32000, loss_seg = 7.5849 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0199, loss_D_s = 0.7254 loss_D_t = 0.6523
Iter =    230/ 32000, loss_seg = 3.2163 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.7031 loss_D_t = 0.6985
Iter =    240/ 32000, loss_seg = 4.0025 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6998 loss_D_t = 0.7130
Iter =    250/ 32000, loss_seg = 3.4098 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0199, loss_D_s = 0.7201 loss_D_t = 0.5963
Iter =    260/ 32000, loss_seg = 5.1534 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6210 loss_D_t = 0.7518
Iter =    270/ 32000, loss_seg = 2.1861 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.5868 loss_D_t = 0.6923
