DateTime: 30/01/2020 - 15:12:13
Random seed: 1234
###########   TRAINING STARTED  ############
Iter =    360/ 48000, loss_seg = 2.3633 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0199, loss_D_s = 0.6464 loss_D_t = 0.6027
Iter =    370/ 48000, loss_seg = 2.1688 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0199, loss_D_s = 0.5196 loss_D_t = 0.6184
Iter =    380/ 48000, loss_seg = 4.2312 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0199, loss_D_s = 0.7673 loss_D_t = 0.6174
Iter =    390/ 48000, loss_seg = 2.6635 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.5255 loss_D_t = 0.7240
Iter =    400/ 48000, loss_seg = 3.8190 loss_rot = 0.0000, loss_adv = 0.0006, loss_weight = 0.0198, loss_D_s = 0.5886 loss_D_t = 0.8496
Iter =    410/ 48000, loss_seg = 1.7064 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.7521 loss_D_t = 0.5506
Iter =    420/ 48000, loss_seg = 2.0269 loss_rot = 0.0000, loss_adv = 0.0006, loss_weight = 0.0198, loss_D_s = 0.4877 loss_D_t = 0.8014
Iter =    430/ 48000, loss_seg = 2.8080 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.6134 loss_D_t = 0.6427
Iter =    440/ 48000, loss_seg = 1.0396 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.6815 loss_D_t = 0.6049
Iter =    450/ 48000, loss_seg = 4.0934 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.6335 loss_D_t = 0.6469
Iter =    460/ 48000, loss_seg = 2.2560 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.6800 loss_D_t = 0.6549
Iter =    470/ 48000, loss_seg = 6.2105 loss_rot = 0.0000, loss_adv = 0.0006, loss_weight = 0.0198, loss_D_s = 0.6396 loss_D_t = 0.9451
Iter =    480/ 48000, loss_seg = 1.6543 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.6166 loss_D_t = 0.5297
Iter =    490/ 48000, loss_seg = 1.8766 loss_rot = 0.0000, loss_adv = 0.0006, loss_weight = 0.0198, loss_D_s = 0.4488 loss_D_t = 0.8524
Iter =    500/ 48000, loss_seg = 3.6916 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.7510 loss_D_t = 0.5506
Iter =    510/ 48000, loss_seg = 1.8415 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.5967 loss_D_t = 0.7441
Iter =    520/ 48000, loss_seg = 4.8591 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.5478 loss_D_t = 0.6498
Iter =    530/ 48000, loss_seg = 2.8462 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.7536 loss_D_t = 0.5281
Iter =    540/ 48000, loss_seg = 1.5100 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.5241 loss_D_t = 0.7240
Iter =    550/ 48000, loss_seg = 1.3055 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.6696 loss_D_t = 0.6029
Iter =    560/ 48000, loss_seg = 4.8972 loss_rot = 0.0000, loss_adv = 0.0006, loss_weight = 0.0198, loss_D_s = 0.6267 loss_D_t = 0.8721
Iter =    570/ 48000, loss_seg = 1.6112 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.5365 loss_D_t = 0.7220
Iter =    580/ 48000, loss_seg = 1.5412 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.5440 loss_D_t = 0.6760
Iter =    590/ 48000, loss_seg = 4.5200 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.6386 loss_D_t = 0.6803
Iter =    600/ 48000, loss_seg = 3.0928 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.6987 loss_D_t = 0.6002
Iter =    610/ 48000, loss_seg = 2.4064 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.6286 loss_D_t = 0.6529
Iter =    620/ 48000, loss_seg = 1.1162 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0198, loss_D_s = 0.7367 loss_D_t = 0.6711
Iter =    630/ 48000, loss_seg = 1.9658 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0198, loss_D_s = 0.6279 loss_D_t = 0.5679
Iter =    640/ 48000, loss_seg = 1.7178 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0198, loss_D_s = 0.5342 loss_D_t = 0.7279
Iter =    650/ 48000, loss_seg = 2.0595 loss_rot = 0.0000, loss_adv = 0.0010, loss_weight = 0.0198, loss_D_s = 0.4493 loss_D_t = 0.5217
Iter =    660/ 48000, loss_seg = 2.1957 loss_rot = 0.0000, loss_adv = 0.0012, loss_weight = 0.0198, loss_D_s = 0.7733 loss_D_t = 0.4278
Iter =    670/ 48000, loss_seg = 1.6530 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0197, loss_D_s = 0.4564 loss_D_t = 0.7303
